Job_Name,Dataset,Base_Model,Status,mAP50_95,mAP50,Precision,Recall,F1_Score,Latency_ms,Training_Time_Min,Output_Dir,Error
YOLOv5s_640px_100e,aquarium_pretrain,yolov5s.pt,Completed,0.3995,0.7171,0.7282,0.6795,0.7030,0.0000,11.3135,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02,N/A
YOLOv5m_640px_100e,aquarium_pretrain,yolov5m.pt,Completed,0.3853,0.6910,0.7635,0.6238,0.6866,0.0000,20.6331,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02,N/A
YOLO11s_640px_100e,aquarium_pretrain,yolo11s.pt,Completed,0.3960,0.6982,0.7557,0.6248,0.6840,0.0000,11.7927,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02,N/A
YOLO11m_640px_100e,aquarium_pretrain,yolo11m.pt,Completed,0.3680,0.6660,0.7031,0.6156,0.6564,0.0000,22.4536,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02,N/A
YOLOv5s_640px_100e,FishInvSplit,yolov5s.pt,Completed,0.5145,0.7270,0.7450,0.6666,0.7036,0.0000,215.6777,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02,N/A
YOLOv5m_640px_100e,FishInvSplit,yolov5m.pt,Completed,0.5356,0.7476,0.7788,0.6779,0.7248,0.0000,419.1679,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02,N/A
YOLO11s_640px_100e,FishInvSplit,yolo11s.pt,Completed,0.5297,0.7351,0.7439,0.6780,0.7094,0.0000,228.7259,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02,N/A
YOLO11m_640px_100e,FishInvSplit,yolo11m.pt,Completed,0.5260,0.7253,0.7397,0.6598,0.6975,0.0000,463.7674,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02,N/A
YOLOv5s_640px_100e,unificacaoDosOceanos,yolov5s.pt,Completed,0.4224,0.6265,0.6804,0.5661,0.6180,0.0000,246.4089,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02,N/A
YOLOv5m_640px_100e,unificacaoDosOceanos,yolov5m.pt,Completed,0.4437,0.6450,0.7104,0.5841,0.6411,0.0000,443.2269,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02,N/A
YOLO11s_640px_100e,unificacaoDosOceanos,yolo11s.pt,Completed,0.4402,0.6465,0.6422,0.6134,0.6274,0.0000,240.6633,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02,N/A
YOLO11m_640px_100e,unificacaoDosOceanos,yolo11m.pt,Completed,0.4381,0.6294,0.6609,0.5772,0.6162,0.0000,490.4248,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02,N/A
